AP NAME,Latitude,Longitude,Type,BSSID
AquaticCentre_rap,-34.90066,138.590887,Indoor,
BroughamPl62_rap,-34.909546,138.597099,Outdoor,dc:a5:f4:04:22:c0
HuttSt231_rap,-34.933512,138.612209,Outdoor,58:97:1e:8c:90:20
HuttStLibrary,-34.933473,138.61205,Indoor,4c:00:82:07:8f:f5
HuttSt202_rap,-34.932441,138.612474,Outdoor,dc:a5:f4:04:2d:a0
HuttSt162_rap,-34.931,138.612373,Outdoor,dc:a5:f4:04:19:e0
HuttSt307_rap,-34.929374,138.61226,Outdoor,dc:a5:f4:04:24:60
HuttSt80_rap,-34.927858,138.61214,Outdoor,0c:68:03:33:25:40
OConnellSt21_rap,-34.908534,138.596664,Outdoor,dc:a5:f4:04:17:20
OConnellSt121_rap,-34.907402,138.596262,Outdoor,dc:a5:f4:04:2f:a0
OConnellSt101_rap,-34.905861,138.595709,Outdoor,f8:4f:57:37:f0:60
OConnellSt181_rap,-34.90314,138.59499,Outdoor,dc:a5:f4:04:2a:c0
RundleMall128_e,-34.922719,138.60368,Outdoor,c0:8c:60:20:69:bc
RundleMall23_e,-34.923053,138.600581,Outdoor,e4:c7:22:f0:4d:5a
TophamMallSouth,-34.925472,138.597648,Indoor,
TophamMallNorth,-34.925154,138.597667,Indoor,
TynteStLibrary1,-34.906256,138.593983,Outdoor,4c:00:82:07:8f:e7
TynteStLibrary2,-34.906121,138.593824,Outdoor,4c:00:82:07:8f:fb
GougerSt2,-34.930076,138.599306,Outdoor,7c:95:f3:8b:d3:00
CurrieSt160,-34.924691,138.592005,Outdoor,50:17:ff:dc:a4:c0
KingWilliamRd12,-34.917688,138.598959,Outdoor,50:17:ff:dc:bc:60
ElderParkPopeye,-34.918528,138.597695,Outdoor,f8:4f:57:37:08:60
FestivalCentre1,-34.919035,138.598714,Outdoor,dc:a5:f4:05:15:40
FestivalCentre2,-34.919508,138.597503,Outdoor,f8:4f:57:37:6a:40
FestivalCentre3,-34.919458,138.596941,Outdoor,f8:4f:57:37:dc:20
HindleySt282_rap,-34.923453,138.589235,Outdoor,50:17:ff:dc:c6:80
LightSq_n,-34.92427,138.593846,Outdoor,7c:95:f3:8b:cf:c0
CurrieSt148,-34.924645,138.592838,Outdoor,50:17:ff:dc:be:60
CurrieSt140,-34.924574,138.594342,Outdoor,50:17:FF:DC:31:40
MorphettSt19,-34.922126,138.593004,Outdoor,50:17:ff:dc:99:60
MarketHall_n,-34.929163,138.597297,Indoor,
MarketHall_e,-34.929529,138.597528,Indoor,
MarketHall_w,-34.929522,138.597041,Indoor,
MarketHall_s,-34.929905,138.597358,Indoor,
GougerSt72_rap,-34.930144,138.596635,Outdoor,50:17:ff:dc:ca:c0
GroteSt61_rap,-34.928986,138.597036,Outdoor,50:17:ff:dc:c4:e0
PirieSt112_rap,-34.925485,138.603961,Outdoor,7c:95:f3:8b:71:e0
PirieSt195_rap,-34.925537,138.607361,Outdoor,50:17:ff:dc:c4:a0
WarMemorialDr,-34.918141,138.596167,Outdoor,50:17:FF:DC:91:80
VictoriaSq_ne,-34.927594,138.600379,Outdoor,7C:95:F3:8B:E1:E0
VictoriaSq_nw,-34.927439,138.599445,Outdoor,50:17:FF:DC:A8:40
VictoriaSq_se,-34.930028,138.600346,Outdoor,50:17:ff:dc:c0:00
GrenfellSt150_w_rap,-34.923789,138.606848,Outdoor,88:f0:77:b7:d1:c0
PulteneySt180,-34.926134,138.605919,Outdoor,7C:95:F3:8B:CE:00
KingWilliamSt1,-34.922067,138.599281,Outdoor,50:17:FF:DC:A9:E0
KingWilliamSt42_rap,-34.923117,138.599677,Outdoor,50:17:ff:dc:c8:20
KingWilliamSt90_rap,-34.92481,138.599808,Outdoor,50:17:FF:DC:A6:E0
RegisterLn1_rap,-34.92481,138.600215,Outdoor,50:17:ff:dc:c4:c0
FranklinSt262_rap,-34.927442,138.589181,Outdoor,b4:e9:b0:c6:99:80
GroteSt1_rap,-34.928782,138.59906,Outdoor,50:17:FF:DC:92:A0
GougerSt52_rap,-34.930174,138.597147,Outdoor,dc:a5:f4:04:11:40
FlindersSt32_rap,-34.926953,138.601934,Outdoor,7c:95:f3:8b:cd:60
FromeRd22,-34.922051,138.607965,Outdoor,50:17:ff:dc:95:e0
GougerSt137,-34.930515,138.594181,Outdoor,50:17:FF:DC:C5:20
GrenfellSt131,-34.924215,138.604732,Outdoor,50:17:ff:dc:a3:80
PulteneySt226_rap,-34.927499,138.606031,Outdoor,50:17:ff:dc:be:40
Rundle187_w_rap,-34.922695,138.606998,Outdoor,7c:95:f3:8b:d1:40
Rundle187_e_rap,-34.922698,138.606874,Outdoor,50:17:ff:dc:a9:80
KingWilliam128,-34.926031,138.599933,Outdoor,50:17:FF:DC:1F:C0
CurrieSt5,-34.925073,138.587825,Outdoor,f4:1f:c2:a6:2e:e0
CurrieSt240,-34.924831,138.589303,Outdoor,50:17:ff:dc:c3:80
EastTce82_rap,-34.924813,138.611952,Outdoor,50:17:ff:dc:bc:40
EastTce14,-34.922276,138.611195,Outdoor,50:17:ff:dc:a9:20
EastTce31,-34.922944,138.611102,Outdoor,dc:a5:f4:05:59:00
FlindersSt138_rap,-34.926778,138.605533,Outdoor,50:17:ff:dc:c3:c0
FlindersSt12,-34.92711044,138.6007235,Outdoor,50:17:ff:dc:c2:80
FlindersSt92,-34.926898,138.603989,Outdoor,50:17:ff:dc:ca:e0
FranklinSt300,-34.927628,138.587977,Outdoor,50:17:FF:DC:C7:A0
FranklinSt199,-34.927734,138.591349,Outdoor,50:17:ff:dc:c1:60
FranklinSt184_rap,-34.92737272,138.5936202,Outdoor,50:17:FF:DC:A3:C0
FranklinSt97,-34.92748,138.595343,Outdoor,50:17:ff:dc:a5:80
FranklinSt33,-34.927353,138.597764,Outdoor,50:17:ff:dc:98:00
FranklinSt16_rap,-34.927194,138.598395,Outdoor,50:17:ff:dc:41:c0
GilbertSt2_rap,-34.9342,138.600203,Outdoor,50:17:ff:dc:a2:80
GiliesSt41_rap,-34.934293,138.601725,Outdoor,50:17:ff:dc:4b:60
GrenfellSt32,-34.924271,138.600974,Outdoor,7C:95:F3:8B:6E:80
GrenfellSt55,-34.924361,138.601833,Outdoor,50:17:ff:dc:9a:80
GrenfellSt75,-34.924315,138.602793,Outdoor,7c:95:f3:8b:a9:00
GroteSt123,-34.929044,138.59409,Outdoor,50:17:ff:dc:c6:20
GroteSt46,-34.928677,138.59731,Outdoor,50:17:ff:dc:51:e0
HindleySt165,-34.923373,138.593205,Outdoor,50:17:FF:DC:91:C0
HindleySt124_rap,-34.923183,138.594829,Outdoor,50:17:FF:DC:91:C0
HindleySt87,-34.923206,138.596202,Outdoor,50:17:FF:DC:C8:00
HindleySt44,-34.923054,138.597711,Outdoor,50:17:FF:DC:BB:C0
HuttSt41,-34.926657,138.611673,Outdoor,50:17:FF:DC:96:20
HuttSt276,-34.92587,138.612031,Outdoor,50:17:FF:DC:CB:00
KingWilliamSt440,-34.93554,138.60058,Outdoor,50:17:FF:DC:CA:A0
KingWilliam62,-34.92366,138.599702,Outdoor,50:17:ff:Dc:98:c0
Montefiore2,-34.91565,138.592886,Outdoor,50:17:FF:DC:C5:E0
MontefioreBridge,-34.921681,138.593444,Outdoor,44:AD:D9:C2:66:80
NorthTce106,-34.921878,138.595495,Outdoor,7c:95:f3:8b:4b:e0
NorthTce239,-34.921139,138.605729,Outdoor,50:17:ff:dc:c8:c0
NorthTce266,-34.921258,138.607668,Outdoor,dc:a5:f4:05:59:20
NorthTce200,-34.921488,138.603248,Outdoor,b4:e9:b0:c6:97:a0
NorthTce55,-34.922098,138.591027,Outdoor,f8:4f:57:37:4a:40
NorthTce15,-34.921831,138.588671,Outdoor,50:17:ff:dc:a5:a0
PortRd5_rap,-34.921758,138.58701,Outdoor,50:17:ff:dc:c6:40
